id,Name,MedianIncomeDollars
0500000US16077,"Power County, Idaho",49985
0500000US16079,"Shoshone County, Idaho",39091
0500000US16081,"Teton County, Idaho",68818
0500000US16083,"Twin Falls County, Idaho",50778
0500000US16085,"Valley County, Idaho",55299
0500000US16087,"Washington County, Idaho",37206
0500000US17001,"Adams County, Illinois",51398
0500000US17003,"Alexander County, Illinois",34709
0500000US17005,"Bond County, Illinois",58097
0500000US17007,"Boone County, Illinois",66898
0500000US17009,"Brown County, Illinois",58762
0500000US17011,"Bureau County, Illinois",55940
0500000US17013,"Calhoun County, Illinois",54392
0500000US17015,"Carroll County, Illinois",51228
0500000US17017,"Cass County, Illinois",51997
0500000US17019,"Champaign County, Illinois",51692
0500000US17021,"Christian County, Illinois",52415
0500000US17023,"Clark County, Illinois",54158
0500000US17025,"Clay County, Illinois",48691
0500000US17027,"Clinton County, Illinois",65010
0500000US17029,"Coles County, Illinois",44071
0500000US17031,"Cook County, Illinois",62088
0500000US17033,"Crawford County, Illinois",49233
0500000US17035,"Cumberland County, Illinois",53376
0500000US17037,"DeKalb County, Illinois",61086
0500000US17039,"De Witt County, Illinois",55591
0500000US17041,"Douglas County, Illinois",54218
0500000US17043,"DuPage County, Illinois",88711
0500000US17045,"Edgar County, Illinois",51109
0500000US17047,"Edwards County, Illinois",49766
0500000US17049,"Effingham County, Illinois",56293
0500000US17051,"Fayette County, Illinois",44432
0500000US17053,"Ford County, Illinois",51120
0500000US17055,"Franklin County, Illinois",41414
0500000US17057,"Fulton County, Illinois",50180
0500000US17059,"Gallatin County, Illinois",42500
0500000US17061,"Greene County, Illinois",46052
0500000US17063,"Grundy County, Illinois",74140
0500000US17065,"Hamilton County, Illinois",56862
0500000US17067,"Hancock County, Illinois",51549
0500000US17069,"Hardin County, Illinois",43081
